probe,F,symbol,known
11752748_x_at,8.947815967315245,MRS2,False
11759869_x_at,8.934734753627133,PJA1,False
11759519_a_at,8.928463823092006,SUCLA2,False
11754446_x_at,8.917279705649875,ZNF761,False
11721275_a_at,8.917276722384688,TADA1,False
11734621_x_at,8.915743372723513,VPS13B,False
11733599_s_at,8.912208820334254,METRNL,False
11760586_at,8.911013022585049,DHX57,False
11737132_a_at,8.898868356658102,PCDHGA10,False
11719221_a_at,8.897308732268705,CD79B,False
11758613_s_at,8.89699242315662,ZNF507,False
11756058_a_at,8.89655306576656,CEACAM1,False
11757230_at,8.894535686423847,CHODL-AS1,False
11759727_x_at,8.891664386259825,C14orf159,False
11757464_x_at,8.891247722345858,PLXNB2,False
11737011_a_at,8.886309317915071,APLF,False
11722630_a_at,8.88375356665612,ICE2,False
11715396_s_at,8.866710129753884,BLOC1S5-TXNDC5,False
11721879_s_at,8.861231587559514,ARID4B,False
11756287_a_at,8.855229291134812,AOAH,False
11754649_s_at,8.849782699194016,ITK,False
11717774_a_at,8.838056506484735,PLEKHB1,False
11733982_a_at,8.808975961639547,PDK1,False
11744133_s_at,8.802205082226456,ZSWIM6,False
11717016_a_at,8.788228732475496,LAMTOR2,False
11740080_at,8.764843685399413,CXorf21,False
11730270_a_at,8.761373173031208,NIPBL,False
11739171_at,8.758380786606045,G2E3,False
11743089_a_at,8.744538424033998,LRRC6,False
11750599_a_at,8.743466969824757,OSBPL6,False
11727393_a_at,8.742257867406497,COX15,False
11757489_x_at,8.737469545929887,RPL22,False
11728318_at,8.733575008044284,FAM122A,False
11763006_s_at,8.730600632789189,TRAV21,False
11754873_a_at,8.730415661561233,ZNF641,False
11743149_at,8.711641019786894,ZNF22,False
11733157_a_at,8.705344887683856,CCDC50,False
11762903_at,8.703703826455556,LAPTM4A,False
11724274_s_at,8.698080215651288,PTPRK,False
11722009_a_at,8.69124044769501,CLIC1,False
11737160_at,8.690359392327435,PLIN5,False
11723660_x_at,8.687320877631395,UBIAD1,False
11733620_a_at,8.683416576136214,BCL11B,False
11718085_s_at,8.6789899624962,LYN,False
11730730_s_at,8.67515008283442,PTRF,False
11759300_s_at,8.668348535346755,AKAP10,False
11753716_a_at,8.660607807359666,AP4S1,False
11728720_at,8.658301689819814,RHOH,False
11755713_a_at,8.656265980825095,CLEC17A,False
11729387_x_at,8.649274690397858,RPL31,False
11723032_a_at,8.642600330764735,PLP2,False
11716257_s_at,8.630938111199407,RERE,False
11721961_at,8.628341133311284,RC3H2,False
11746454_a_at,8.628277840563733,USP15,False
11722495_a_at,8.62623403394385,MYBBP1A,False
11717271_a_at,8.62475785867507,PRAME,False
11759546_a_at,8.616372755766298,CXXC5,False
11726885_s_at,8.61003853069922,C15orf41,False
11759117_at,8.608039702334494,FBXO42,False
11743084_s_at,8.603475008882587,BNIP3,False
11716105_a_at,8.60312714526218,MPZL1,False
11722601_a_at,8.594051968560025,ACAT2,False
11735171_at,8.5767789891639,TM4SF20,False
11737791_s_at,8.567804450862273,APOL1,False
11732425_at,8.567638927940036,ANKRD22,False
11757953_x_at,8.563906773786037,TTC39C,False
11721189_at,8.55380268746186,CNPY4,False
11761427_at,8.553262936834894,DOCK8,False
11761824_at,8.546716119172915,NSAP11,False
11719353_s_at,8.546399406255283,GCC2,False
11743031_a_at,8.54449837034053,S100A6,False
11716828_a_at,8.538084962607092,NPC2,False
11745624_s_at,8.529441330723154,INADL,False
11727112_a_at,8.526995528395034,SIT1,False
11739647_a_at,8.525555664368113,PRKAR2A,False
11718500_at,8.522329570157801,UBE2Q1,False
11716004_at,8.517935834689387,FAF2,False
11722023_a_at,8.511575878553224,ABCF2,False
11723205_a_at,8.502359546658555,PGD,False
11718216_x_at,8.501074628758033,DDA1,False
11735782_a_at,8.499501838461647,HHLA3,False
11724841_a_at,8.498796701516348,PKN2,False
11743748_a_at,8.49768840550007,LAT,False
11762810_x_at,8.490119366316494,CASP8,False
11724739_s_at,8.483001533534395,TMEM204,False
11760505_s_at,8.482980304480895,LOC100506486,False
11755250_x_at,8.477073250150331,RPL13A,False
